
Train set: Average loss: 0.0032, Accuracy: 408/425 (96%)


Train set: Average loss: 0.0017, Accuracy: 420/425 (99%)


 The epoch is 200, average recall: 0.6724, average precision: 0.6842,average F1: 0.6783, average accuracy: 0.6864, average AUC: 0.8003
Train set: Average loss: 0.0014, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0008, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0011, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0006, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0012, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0012, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0010, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0010, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0009, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0005, Accuracy: 424/425 (100%)


 The epoch is 210, average recall: 0.6552, average precision: 0.6909,average F1: 0.6726, average accuracy: 0.6864, average AUC: 0.7986
Train set: Average loss: 0.0031, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0015, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0018, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0013, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0006, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0010, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0012, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0004, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0013, Accuracy: 422/425 (99%)


 The epoch is 220, average recall: 0.7069, average precision: 0.7069,average F1: 0.7069, average accuracy: 0.7119, average AUC: 0.7997
Train set: Average loss: 0.0030, Accuracy: 409/425 (96%)


Train set: Average loss: 0.0010, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0009, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0008, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0005, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0006, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0003, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0007, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0013, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0008, Accuracy: 422/425 (99%)


 The epoch is 230, average recall: 0.6897, average precision: 0.7018,average F1: 0.6957, average accuracy: 0.7034, average AUC: 0.7776
Train set: Average loss: 0.0009, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0014, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0007, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0006, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0012, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0003, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0006, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0005, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0012, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0005, Accuracy: 423/425 (100%)


 The epoch is 240, average recall: 0.6552, average precision: 0.6786,average F1: 0.6667, average accuracy: 0.6780, average AUC: 0.7727
Train set: Average loss: 0.0015, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0018, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0008, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0009, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0022, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0015, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0022, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0024, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0017, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0007, Accuracy: 423/425 (100%)


 The epoch is 250, average recall: 0.6724, average precision: 0.6964,average F1: 0.6842, average accuracy: 0.6949, average AUC: 0.8161
Train set: Average loss: 0.0009, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0003, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0004, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0003, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0012, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0029, Accuracy: 415/425 (98%)


Train set: Average loss: 0.0044, Accuracy: 405/425 (95%)


Train set: Average loss: 0.0018, Accuracy: 416/425 (98%)


Train set: Average loss: 0.0028, Accuracy: 416/425 (98%)


 The epoch is 260, average recall: 0.7759, average precision: 0.7377,average F1: 0.7563, average accuracy: 0.7542, average AUC: 0.8098
Train set: Average loss: 0.0049, Accuracy: 402/425 (95%)


Train set: Average loss: 0.0031, Accuracy: 413/425 (97%)


Train set: Average loss: 0.0022, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0030, Accuracy: 412/425 (97%)


Train set: Average loss: 0.0019, Accuracy: 415/425 (98%)


Train set: Average loss: 0.0006, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0006, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0009, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0007, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0007, Accuracy: 423/425 (100%)


 The epoch is 270, average recall: 0.6897, average precision: 0.7018,average F1: 0.6957, average accuracy: 0.7034, average AUC: 0.8112
Train set: Average loss: 0.0008, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0008, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0005, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0007, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0003, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0003, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0013, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0015, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0008, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0004, Accuracy: 423/425 (100%)


 The epoch is 280, average recall: 0.7241, average precision: 0.7000,average F1: 0.7119, average accuracy: 0.7119, average AUC: 0.7974
Train set: Average loss: 0.0008, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0022, Accuracy: 414/425 (97%)


Train set: Average loss: 0.0012, Accuracy: 416/425 (98%)


